category,product_name,product_code,cas_number,iupac_name,slug,short_description,application_tags,has_long_desc,has_bullets,has_image
Acrylates & Methacrylates,"1,3-Butanediol Dimethacrylate","1,3-BGDMA",1189-08-8,"1,3-Butanediol Dimethacrylate (1,3-BG)",1-3-bgdma,A difunctional cross-linking monomer used in dental and medical applications.,Dental Composites; Medical Adhesives; Anaerobic Adhesives,yes,yes,no
Acrylates & Methacrylates,"1,4-Butanediol Dimethacrylate","1,4-BGDMA",2082-81-7,"1,4-Butanediol Dimethacrylate (1,4-BG)",1-4-bgdma,A cross-linking monomer that provides a good balance of hardness and flexibility.,Adhesives; Coatings; Engineering Plastics; Dental Composites,yes,yes,no
Acrylates & Methacrylates,"1,6-Hexanediol Dimethacrylate","1,6-HDDMA",6606-59-3,"1,6-Hexanediol Dimethacrylate (HD)",1-6-hddma,A flexible cross-linking monomer that reduces viscosity and improves impact resistance.,Coatings; Inks; Adhesives; Photopolymers,yes,yes,no
Acrylates & Methacrylates,1-Methylheptyl acrylate(C8),1-Methylheptyl acrylate,42928-85-8,1-Methylheptyl acrylate,1-methylheptyl-acrylate,A branched C8 acrylate monomer used to control polymer properties like Tg and flexibility.,Specialty Polymers; Adhesives; Coatings,yes,yes,yes
Acrylates & Methacrylates,"2,2,2-Trifluoroethyl Methacrylate",3FMA,352-87-4,"2,2,2-Trifluoroethyl Methacrylate",3fma,"A fluorinated methacrylate for creating low surface energy, hydrophobic, and oleophobic polymers.",Hydrophobic Coatings; Low Refractive Index Polymers; Dental Sealants; Anti-graffiti Coatings,yes,yes,no
Acrylates & Methacrylates,2-Ethylhexyl Methacrylate,EHMA,688-84-6,2-Ethylhexyl Methacrylate,ehma,A common methacrylate monomer used to lower Tg and improve flexibility and water resistance.,Pressure-Sensitive Adhesives; Coatings; Sealants; Textile Binders,yes,yes,no
Acrylates & Methacrylates,2-Hydroxyethyl Acrylate,HEA,818-61-1,2-Hydroxyethyl Acrylate,hea,A hydroxy-functional monomer containing hydroxyl groups that serve as reactive sites for crosslinking and promote adhesion to polar substrates.,Coatings; Adhesives; Photopolymers,yes,yes,no
Acrylates & Methacrylates,2-Hydroxyethyl Methacrylate,HEMA,868-77-9,2-Hydroxyethyl Methacrylate,hema,"A primary hydroxy-functional methacrylate for cross-linking, adhesion, and hydrophilicity.",Adhesives; Coatings; Contact Lenses; Medical Polymers,yes,yes,no
Acrylates & Methacrylates,2-Hydroxypropyl Acrylate,HPA,25584-83-2,2-Hydroxypropyl Acrylate,hpa,A hydroxy-functional monomer providing flexibility and reactivity in polymer systems.,Coatings; Adhesives; Sealants; Resin Synthesis,yes,yes,no
Acrylates & Methacrylates,2-Hydroxypropyl Methacrylate,HPMA,27813-02-1,2-Hydroxypropyl Methacrylate,hpma,A hydroxy-functional methacrylate providing flexibility and a reactive site for cross-linking.,Coatings; Adhesives; Resins; Photopolymers,yes,yes,no
Acrylates & Methacrylates,4-Hydroxybutyl Acrylate,4-HBA,211391,4-Hydroxybutyl Acrylate,4-hba,"A hydroxy-functional acrylate used to improve adhesion, flexibility, and as a cross-linking site.",Automotive Coatings; Adhesives; UV Resins; Tough Coatings,yes,yes,no
Acrylates & Methacrylates,4-Hydroxybutyl Methacrylate,4-HBMA,2082-81-7,4-Hydroxybutyl Methacrylate,4-hbma,A hydroxy-functional methacrylate used to improve flexibility and impact strength.,Flexible Coatings; Adhesives; Impact Modifiers; Resin Synthesis,yes,yes,no
Acrylates & Methacrylates,Acryloylmorpholine,ACMO,1175324,Acryloylmorpholine,acmo,"A hydrophilic, low-toxicity monomer used for UV-cured inks, coatings, and hydrogels.",UV Inks; 3D Printing; Hydrogels; Coatings,yes,yes,no
Acrylates & Methacrylates,Allyl Acrylate,Allyl Acrylate,999-55-3,Allyl Acrylate,allyl-acrylate,A dual-functionality monomer with both acrylate and allyl groups for controlled cross-linking.,Cross-linking Agent; Specialty Copolymers; Interpenetrating Polymer Networks (IPNs),yes,yes,yes
Acrylates & Methacrylates,Allyl Methacrylate,AMA,96-05-9,Allyl Methacrylate,ama,A dual-functionality monomer with methacrylate and allyl groups for staged or controlled polymerization.,Cross-linking Agent; Dental Resins; Optical Polymers; Coatings,yes,yes,no
Acrylates & Methacrylates,Benzyl Methacrylate,BZMA,2495-37-6,Benzyl Methacrylate,bzma,"An aromatic methacrylate providing high refractive index, hardness, and chemical resistance.",Optical Resins; Coatings; Adhesives; Electronic Materials,yes,yes,no
Acrylates & Methacrylates,Biphenylyl Methacrylate,Biphenylyl methacrylate,24308-78-1,"[1,1′-Biphenyl]-4-yl 2-methylprop-2-enoate",biphenylyl-methacrylate,"Biphenylyl methacrylate is an aromatic methacrylate monomer with a biphenyl pendant, used to make high-refractive-index transparent polymers for optical and ophthalmic applications.",Methacrylates; High-Index Polymers; Optical Materials; Lens Monomers,yes,yes,yes
Acrylates & Methacrylates,Biphenylyl acrylate,HBPA,86880-46-8,Biphenylyl acrylate,hbpa,An acrylate with a biphenyl group for creating polymers with a high refractive index.,Optical Films; High Refractive Index Polymers; Electronic Displays,yes,yes,yes
Acrylates & Methacrylates,"CTFMA (2,2,2-Trifluoroethyl Methacrylate)",CTFMA,352-87-4,"2,2,2-Trifluoroethyl 2-methylprop-2-enoate",ctfma,"CTFMA is a fluorinated methacrylate monomer used to make low-surface-energy, low-refractive-index, chemically resistant polymers for coatings, optical films, and specialty elastomers.",Fluoromethacrylates; Hydrophobic Coatings; Optical Fibers; Low-RI Polymers,yes,yes,yes
Acrylates & Methacrylates,Cyclohexyl Methacrylate,CHMA,101-43-9,Cyclohexyl Methacrylate,chma,"A cycloaliphatic methacrylate that imparts hardness, weatherability, and high Tg to polymers.",Hard Coatings; Optical Plastics; Adhesives; Dental Resins,yes,yes,no
Acrylates & Methacrylates,Diacetone Acrylamide,DAAM,2873-97-4,Diacetone Acrylamide,daam,A functional monomer that provides wet adhesion and cross-linking capabilities in latexes and resins.,Wet Adhesion Resins; Coatings; Adhesives; Sealants,yes,yes,no
Acrylates & Methacrylates,Diethylene Glycol Dimethacrylate,DEGDMA,2358-84-1,Diethylene Glycol Dimethacrylate (2G),degdma,A flexible difunctional cross-linker used to balance hardness and flexibility.,Anaerobic Adhesives; Dental Composites; Sealants; Coatings,yes,yes,no
Acrylates & Methacrylates,Dipentaerythritol Hexaacrylate,DPHA,29570-58-9,Dipentaerythritol Hexaacrylate,dpha,A highly functional acrylate for extremely fast cure and high hardness.,UV Coatings; Inks; Overprint Varnishes; Hard Coatings,yes,yes,no
Acrylates & Methacrylates,Ethylene Glycol Dimethacrylate,EGDMA,97-90-5,Ethylene Glycol Dimethacrylate,egdma,A common difunctional cross-linking monomer for increasing rigidity and chemical resistance.,Dental Resins; Adhesives; Casting Resins,yes,yes,no
Acrylates & Methacrylates,GMEC Specialty Methacrylate,GMEC,,,gmec,"GMEC is a specialty functional methacrylate monomer used as a building block in specialty acrylic polymers, coatings, and adhesives.",Methacrylates; Specialty Coatings; Adhesives; Specialty Monomer,yes,yes,yes
Acrylates & Methacrylates,Glycerol Carbonate Methacrylate,Glycerol carbonate methacrylate,13818-44-5,"(2-Oxo-1,3-dioxolan-4-yl)methyl methacrylate",glycerol-carbonate-methacrylate,"Glycerol carbonate methacrylate is a bifunctional monomer combining a polymerizable methacrylate with a reactive cyclic carbonate, enabling dual-cure polymers, non-isocyanate polyurethanes, and bio-based coatings.",Methacrylates; Non-Isocyanate Polyurethanes; Dual Cure; Functional Monomers; Coatings,yes,yes,yes
Acrylates & Methacrylates,Glycerol Dimethacrylate,GDMA,1830-78-0,Glycerol Dimethacrylate,gdma,A hydroxy-functional cross-linker that promotes adhesion and provides a site for further reaction.,Adhesion Promoter; Dental Adhesives; Coatings; Composite Binders,yes,yes,no
Acrylates & Methacrylates,Glycidyl Methacrylate,GMA,106-91-2,Glycidyl Methacrylate,gma,A dual-functionality monomer with methacrylate and epoxy groups for creating functional polymers.,Powder Coatings; Adhesives; Functional Polymers; Hydrogels; Compatibilizers,yes,yes,no
Acrylates & Methacrylates,Hydroxy-terminated polybutadiene diacrylate,BAC-45,"308077-38-5, 95321-56-5",Hydroxy-terminated polybutadiene diacrylate,bac-45,A UV-curable polybutadiene oligomer with high elasticity and hydrophobicity.,Printing Plates; Vulcanizing Agent Alternative; Crosslinking Agent for Plastics; Polystyrene Foam Modifier,yes,yes,yes
Acrylates & Methacrylates,Isobornyl Methacrylate,Isobornyl Methacrylate,7534-94-3,Isobornyl Methacrylate,isobornyl-methacrylate,"A bulky cycloaliphatic methacrylate imparting high hardness, abrasion resistance, and weatherability.",Hard Coatings; Inks; Adhesives,yes,yes,no
Acrylates & Methacrylates,Isocetyl acrylate(C16),Isocetyl acrylate,93841-47-5,Isocetyl acrylate,isocetyl-acrylate,A long-chain alkyl acrylate providing significant hydrophobicity and flexibility.,Hydrophobic Coatings; Sealants; Pressure-Sensitive Adhesives,yes,yes,yes
Acrylates & Methacrylates,Lauryl Methacrylate,Lauryl Methacrylate,142-90-5,Lauryl Methacrylate,lauryl-methacrylate,"A long-chain methacrylate that provides hydrophobicity, flexibility, and a low refractive index.",Adhesives; Lubricant Additives; Coatings,yes,yes,no
Acrylates & Methacrylates,Methoxypolyethylene Glycol Methacrylate,MPEGMA,26915-72-0,Methoxypolyethylene Glycol Methacrylate,mpegma,A hydrophilic monomer used to impart water solubility and create comb-like polymer structures.,Dispersants; Concrete Superplasticizers; Hydrogels; Surface Modifiers,yes,yes,no
Acrylates & Methacrylates,Methyl Methacrylate (MMA),MMA,80-62-6,Methyl 2-methylprop-2-enoate,mma,"Methyl methacrylate is the world's largest-volume methacrylate monomer, used to produce PMMA (acrylic glass), coatings, adhesives, and specialty copolymers.",Methacrylates; PMMA; Coatings; Adhesives; Commodity Monomer,yes,yes,yes
Acrylates & Methacrylates,"N,N'-Ethylenebis(acrylamide)",EBA,2956-58-3,"N,N'-Ethylenebis(acrylamide)",eba,"A cross-linking agent similar to MBA, used in polymer synthesis.",Hydrogels; Specialty Polymers; Cross-linking,yes,yes,no
Acrylates & Methacrylates,"N,N'-Methylenebis(acrylamide)",MBA,110-26-9,"N,N'-Methylenebis(acrylamide)",mba,A common cross-linking agent used to form hydrogels and for electrophoresis gels.,Hydrogels; Electrophoresis; Soil Conditioning; Superabsorbent Polymers,yes,yes,no
Acrylates & Methacrylates,"N,N-Diethylacrylamide",DEAA,2675-94-7,"N,N-Diethylacrylamide",deaa,A thermo-responsive monomer used in smart polymers and hydrogels.,Smart Gels; Drug Delivery; Separation Science,yes,yes,no
Acrylates & Methacrylates,"N,N-Diethylaminoethyl Methacrylate",DEAEMA,105-16-8,"N,N-Diethylaminoethyl Methacrylate",deaema,"A cationic methacrylate similar to DMAEMA, used in coatings, adhesives, and water treatment.",Coatings; Water Treatment; Adhesives; Flocculants,yes,yes,no
Acrylates & Methacrylates,"N,N-Dimethylacrylamide",DMAA,284957,"N,N-Dimethylacrylamide",dmaa,"A hydrophilic acrylamide monomer used for hydrogels, adhesives, and thickeners.",Hydrogels; Contact Lenses; Adhesives; Thickeners,yes,yes,no
Acrylates & Methacrylates,"N,N-Dimethylaminoethyl Methacrylate",DMAEMA,2867-47-2,"N,N-Dimethylaminoethyl Methacrylate",dmaema,"A cationic methacrylate with a tertiary amine group, used for flocculants, coatings, and adhesives.",Flocculants; Adhesion Promoters; pH-Responsive Polymers; Coatings,yes,yes,no
Acrylates & Methacrylates,"N,N-Dimethylaminopropyl Acrylamide",DMAPAA,3845-76-9,"N,N-Dimethylaminopropyl Acrylamide",dmapaa,"A cationic acrylamide monomer used in water treatment, paper additives, and personal care.",Water Treatment; Paper Additives; Personal Care; Flocculants,yes,yes,no
Acrylates & Methacrylates,"N,N-Dimethylaminopropyl Methacrylate",DMAPMA,5205-93-6,"N,N-Dimethylaminopropyl Methacrylate",dmapma,A cationic methacrylate monomer used for creating polymers with positive charges.,Flocculants; Ion Exchange Resins; Adhesion Promoters,yes,yes,no
Acrylates & Methacrylates,N-(Butoxymethyl)acrylamide,N-(Butoxymethyl)acrylamide,16656-55-8,N-(Butoxymethyl)acrylamide,n-butoxymethyl-acrylamide,"A cross-linking monomer that reacts at elevated temperatures, used in thermosetting coatings and textiles.",Thermosetting Coatings; Textile Finishes; Adhesives; Non-woven Binders,yes,yes,no
Acrylates & Methacrylates,N-Isopropylacrylamide,NIPAM,2210-25-5,N-Isopropylacrylamide,nipam,A well-known thermo-responsive monomer for creating polymers that exhibit a lower critical solution temperature (LCST).,Drug Delivery; Cell Culture Surfaces; Smart Hydrogels; Tissue Engineering,yes,yes,no
Acrylates & Methacrylates,N-tert-Butylacrylamide,N-tert-Butylacrylamide,107-58-4,N-tert-Butylacrylamide,n-tert-butylacrylamide,A bulky monomer that provides hydrophobicity and steric hindrance in polymers.,Coatings; Adhesives; Specialty Copolymers,yes,yes,no
Acrylates & Methacrylates,N-tert-Octylacrylamide,N-tert-Octylacrylamide,848522,N-tert-Octylacrylamide,n-tert-octylacrylamide,A hydrophobic monomer used in personal care formulations like hair sprays and lotions.,Personal Care; Cosmetics; Waterproofing Agents; Hair Sprays,yes,yes,no
Acrylates & Methacrylates,Pentaerythritol Tetramethacrylate,PETTMA,3253-39-2,Pentaerythritol Tetramethacrylate,pettma,"A highly functional cross-linker for maximum hardness, scratch resistance, and chemical resistance.",Hard Coatings; Composites; Dental Materials; Abrasion-Resistant Inks,yes,yes,no
Acrylates & Methacrylates,Pentaerythritol Trimethacrylate,PETMA,3253-41-6,Pentaerythritol Trimethacrylate,petma,A multi-functional methacrylate for high hardness and abrasion resistance.,Abrasion-Resistant Coatings; Dental Sealants; Hard Coatings,yes,yes,no
Acrylates & Methacrylates,Phenoxyethyl Methacrylate,PEMA,10595-06-9,Phenoxyethyl Methacrylate,pema,"An aromatic methacrylate that provides good adhesion, flexibility, and moderate Tg.",Adhesives; Coatings; Sealants; Resin Modification,yes,yes,no
Acrylates & Methacrylates,Phenyl acrylate,Phenyl acrylate,937-41-7,Phenyl acrylate,phenyl-acrylate,An aromatic acrylate monomer that increases Tg and improves thermal properties of polymers.,High-Tg Acrylics; Adhesives; Resin Modification,yes,yes,yes
Acrylates & Methacrylates,Photo-initiator acrylate,Photo-initiator acrylate,66492-51-1,Photo-initiator acrylate,photo-initiator-acrylate,An acrylate monomer with a built-in photoinitiator group for UV-curing applications.,UV-Cure Coatings; Inks; Adhesives,yes,yes,yes
Acrylates & Methacrylates,Polyethylene Glycol Dimethacrylate,PEGDM,25852-47-5,Polyethylene Glycol Dimethacrylate (9G),pegdm,"A hydrophilic, flexible cross-linker for creating hydrogels and soft polymers.",Hydrogels; Drug Delivery; Soft Contact Lenses; Tissue Engineering,yes,yes,no
Acrylates & Methacrylates,Stearyl Methacrylate,SMA,32360-05-7,Stearyl Methacrylate,sma,A very long-chain methacrylate used as a wax-like monomer for hydrophobicity and flow control.,Pour Point Depressants; Wax Modifiers; Coatings; Plasticizers,yes,yes,no
Acrylates & Methacrylates,Tetrahydrofurfuryl Methacrylate,THFMA,2455-24-5,Tetrahydrofurfuryl Methacrylate,thfma,A cyclic ether methacrylate providing excellent adhesion to plastics and metals.,Adhesion Promoter; Coatings for Plastics; UV Resins; Inks,yes,yes,no
Acrylates & Methacrylates,Triethylene Glycol Dimethacrylate,TEGDMA,109-16-0,Triethylene Glycol Dimethacrylate (3G),tegdma,A flexible cross-linking monomer that lowers shrinkage and improves impact strength.,Dental Resins; Adhesives; Coatings; Anaerobic Adhesives,yes,yes,no
Acrylates & Methacrylates,Trimethylolpropane Trimethacrylate,TMPTA,3290-92-4,Trimethylolpropane Trimethacrylate,tmpta,"A tri-functional cross-linker for high cross-link density, hardness, and chemical resistance.",Hard Coatings; Adhesives; Dental Composites,yes,yes,no
Acrylates & Methacrylates,n-Hexyl acrylate,n-Hexyl acrylate (C6),2499-95-8,n-Hexyl acrylate,n-hexyl-acrylate-c6,"A versatile C6 alkyl acrylate building block used to impart flexibility, hydrophobicity, and water resistance to acrylic polymers.",Adhesives; Coatings; Sealants; Polymer modification,yes,yes,yes
Acrylates & Methacrylates,t-Butyl Methacrylate,t-BMA,585-07-9,t-Butyl Methacrylate,t-bma,A bulky monomer that provides hardness and chemical resistance.,Specialty Resins; Coatings; Dental Polymers; Adhesives,yes,yes,no
Adamantyl,1-Adamantanecarboxylic Acid,1-Adamantanecarboxylic acid,828-51-3,Adamantane-1-carboxylic acid,1-adamantanecarboxylic-acid,"1-Adamantanecarboxylic acid is a rigid, cage-structured carboxylic acid used as a building block for high-Tg polymers, photoresists, and pharmaceutical intermediates.",Photoresists; Semiconductors; High-Tg Polymers; Pharma Intermediate; Low-Dk Materials,yes,yes,yes
Adamantyl,Adamantane,Adamantane,281-23-2,"Tricyclo[3.3.1.1³,⁷]decane",adamantane,"Adamantane is the rigid, diamondoid tricyclic hydrocarbon (C₁₀H₁₆) that serves as the parent cage for adamantyl-functionalized monomers, photoresists, and pharmaceuticals.",Photoresists; Pharma Intermediate; High-Tg Polymers; Semiconductors; Specialty Monomers,yes,yes,yes
Allyl Ethers & Phthalates,Allyl Glycidyl Ether,AGE,106-92-3,Allyl Glycidyl Ether,age,"A dual-functionality monomer with both allyl and epoxy groups, used as a reactive diluent to reduce viscosity and enhance performance in epoxy systems.",Epoxy modification; Coatings; Adhesives; Composite binders; Synthesis intermediate,yes,yes,yes
Allyl Ethers & Phthalates,DAIP Prepolymer (Diallyl Isophthalate Prepolymer),DAIP-Prepolymer,,,daip-prepolymer,"DAIP prepolymer is a partially polymerized diallyl isophthalate resin used to produce heat-resistant, dimensionally stable thermoset molding compounds for electrical and electronic applications.",Allyl Monomers; Thermoset Resins; Molding Compounds; Electrical Connectors; Aerospace Electronics,yes,yes,yes
Allyl Ethers & Phthalates,DAIP-M (Diallyl Isophthalate Monomer),DAIP-M,1087-21-4,"Di(prop-2-en-1-yl) benzene-1,3-dicarboxylate",daip-m,"Diallyl isophthalate monomer (DAIP-M) is a high-performance crosslinkable allyl monomer used to produce heat-resistant, dimensionally stable thermosets for electrical, electronic, and composite applications.",Allyl Monomers; Thermoset Resins; Electrical Connectors; Composites; High-Heat Plastics,yes,yes,yes
Allyl Ethers & Phthalates,DAP Prepolymer (Diallyl Phthalate Prepolymer),DAP-Prepolymer,,,dap-prepolymer,"DAP prepolymer is a partially polymerized diallyl phthalate resin used in glass-reinforced thermoset molding compounds for high-reliability electrical, electronic, and aerospace components.",Allyl Monomers; Thermoset Resins; Molding Compounds; Mil-Spec Connectors; Aerospace Electronics,yes,yes,yes
Allyl Ethers & Phthalates,Diallyl Dimethyl Ammonium Chloride,DADMAC,7398-69-8,Diallyl Dimethyl Ammonium Chloride,dadmac,"A cationic monomer used in water treatment, paper manufacturing, and personal care products.",Flocculants; Antistatic Agents; Hair Conditioners; Paper Additives,yes,yes,yes
Allyl Ethers & Phthalates,Diallyl phthalate monomer,DAP-M,131-17-9,Diallyl phthalate monomer,dap-m,"A high-performance thermosetting monomer that produces polymers with excellent electrical insulation, high heat resistance, and outstanding dimensional stability.",Insulating varnish; Unsaturated polyesters; Reactive plasticizer for PVC; UV printing inks; Molding compounds; Electronic components; Decorative laminates,yes,yes,yes
Allyl Ethers & Phthalates,Glycerine Monoallyl Ether,Glycerine Monoally,123-34-2,"3-(Allyloxy)propane-1,2-diol",glycerine-monoally,"Glycerine monoallyl ether is a bifunctional monomer combining a reactive allyl group with a vicinal diol, used as a crosslinker and modifier in UV-cure resins, coatings, and specialty polymers.",UV/EB Coatings; Polyurethane; Reactive Diluent; Crosslinker; Specialty Monomer,yes,yes,yes
Allyl Ethers & Phthalates,Glycerine Monoallyl Ether,Glycerine Monoallyl Ether,123-34-2,Glycerine Monoallyl Ether,glycerine-monoallyl-ether,A functional monomer used to introduce hydroxyl and allyl groups into polymers.,Specialty Polymers; Cross-linking; Coatings,yes,yes,no
Allyl Ethers & Phthalates,Pentaerythritol Triallyl Ether,PETE,1471-17-6,Pentaerythritol Triallyl Ether,pete,A multi-functional allyl ether used as a cross-linking agent for high-performance polymers and resins.,Unsaturated Polyesters; Casting Resins; High-Frequency Laminates; Coatings,yes,yes,yes
Allyl Ethers & Phthalates,Trimethylolpropane diallyl ether,TMPDAE,"682-09-7, 682-11-1, 682-08-6",Trimethylolpropane diallyl ether,tmpdae,A cross-linking agent that improves thermal and mechanical properties of polymers.,Coatings; Sealants; Casting Resins,yes,yes,yes
Anhydrides & Curing Agents,4-Methylhexahydrophthalic Anhydride (MHHPA),4-Methylhexahydrophthalic anhydride,25550-51-0,"4-Methylhexahydro-2-benzofuran-1,3-dione",4-methylhexahydrophthalic-anhydride,"MHHPA is a liquid alicyclic anhydride epoxy curing agent producing transparent, low-color, weather-resistant thermosets for LED encapsulation, electrical insulation, and optical applications.",Epoxy Curing; LED Encapsulation; Electrical Insulation; Optical Resins; Transparent Thermosets,yes,yes,yes
Anhydrides & Curing Agents,4-Phenylethynylphthalic Anhydride (4-PEPA),4-PEPA,119389-05-8,"4-(Phenylethynyl)-1,3-isobenzofurandione",4-pepa,"4-PEPA is a phenylethynyl-functionalized endcap anhydride that enables thermally cured, void-free polyimides and oligomers with exceptional high-temperature stability for aerospace composites.",Polyimides; Aerospace Composites; High-Temp Resins; Endcap Monomer; Thermoset,yes,yes,yes
Anhydrides & Curing Agents,Anhydride Curing Agent,Anhydride Curing Agent,,Anhydride Curing Agent,anhydride-curing-agent,"A class of curing agents for epoxy resins that provide long pot life, low viscosity, and high-temperature performance.",Filament Winding; Pultrusion; Casting; Encapsulation,yes,yes,no
Anhydrides & Curing Agents,BPAF (Bisphenol AF Dianhydride),BPAF,1107-00-2,"4,4′-(Hexafluoroisopropylidene)diphthalic anhydride",bpaf,"BPAF (6FDA) is a hexafluoroisopropylidene-bridged aromatic dianhydride that yields high-performance fluorinated polyimides with low dielectric constant, high optical transparency, and gas-separation capability.",Polyimides; Low-Dk Materials; Flexible Displays; Gas Separation; Advanced Packaging,yes,yes,yes
Anhydrides & Curing Agents,BPF-PA (Bisphenol F Phthalate Dianhydride),BPF-PA,135876-30-1,"4,4′-(9H-Fluorene-9,9-diyl)bis(phthalic anhydride)",bpf-pa,"BPF-PA is a fluorene-bridged aromatic dianhydride producing cardo-structure polyimides with high Tg, low birefringence, and excellent optical transparency.",Polyimides; Cardo Monomers; Optical Films; Flexible Displays; High-Tg Polymers,yes,yes,yes
Anhydrides & Curing Agents,BT-100 Specialty Anhydride,BT-100,,,bt-100,BT-100 is a specialty anhydride product used as a curing agent and building block for high-performance thermoset resins.,Epoxy Curing; Electronics; Thermoset Resins; Adhesives,yes,yes,yes
Anhydrides & Curing Agents,Hexahydrophthalic Anhydride (HHPA),HHPA,85-42-7,"Hexahydro-2-benzofuran-1,3(2H)-dione",hhpa,"HHPA is a saturated alicyclic anhydride epoxy curing agent producing UV-stable, transparent, low-color thermosets used in LED encapsulants, optical resins, and electrical casting.",Epoxy Curing; LED Encapsulation; Electrical Insulation; Optical Resins; Transparent Thermosets,yes,yes,yes
Anhydrides & Curing Agents,Phthalic Anhydride (PA),PA,85-44-9,"2-Benzofuran-1,3-dione",pa,"Phthalic anhydride is a major commodity aromatic anhydride used to manufacture plasticizers, unsaturated polyester resins, alkyd paints, and dye intermediates.",Plasticizers; Unsaturated Polyesters; Alkyd Resins; Epoxy Curing; Dye Intermediate,yes,yes,yes
Anhydrides & Curing Agents,TAHQ (Hydroquinone Diacetate / Terephthalate Anhydride),TAHQ,,,tahq,"TAHQ is a specialty aromatic anhydride monomer used as a building block for liquid-crystal polymers, high-Tg polyesters, and high-performance polyimides.",LCP; Polyimides; High-Temp Polyesters; Specialty Monomer; Electronic Materials,yes,yes,yes
Anhydrides & Curing Agents,TDA-100 Specialty Dianhydride,TDA-100,,,tda-100,TDA-100 is a specialty aromatic dianhydride monomer used in the synthesis of high-performance polyimides and thermally stable engineering polymers.,Polyimides; Electronics; Flexible Circuits; Aerospace Films; Advanced Packaging,yes,yes,yes
Anhydrides & Curing Agents,TMEG-100 Aromatic Dianhydride,TMEG-100,1732-93-4,Ethylene glycol bis(anhydrotrimellitate),tmeg-100,"TMEG-100 is an ester-linked aromatic dianhydride used as a monomer for solvent-soluble, processable polyimides with balanced thermal and mechanical properties.",Polyimides; Magnet Wire Enamel; Flexible Circuits; Electrical Insulation,yes,yes,yes
Anhydrides & Curing Agents,Tetrahydrophthalic Anhydride (THPA),THPA,85-43-8,"3a,4,7,7a-Tetrahydro-2-benzofuran-1,3-dione",thpa,THPA is a partially saturated alicyclic anhydride used as an epoxy curing agent and intermediate for UV-stable polyester and alkyd resins.,Epoxy Curing; Unsaturated Polyesters; Alkyd Resins; Specialty Monomer,yes,yes,yes
Anhydrides & Curing Agents,"a-ODPA (2,3,3′,4′-Oxydiphthalic Anhydride)",a-ODPA,50662-95-8,"2,3,3′,4′-Oxydiphthalic anhydride",a-odpa,"a-ODPA is the asymmetric oxydiphthalic dianhydride isomer used to produce highly soluble, transparent polyimides with low CTE and excellent optical properties.",Polyimides; Flexible Displays; Optical Films; Advanced Packaging,yes,yes,yes
Anilines,BisA-M (Bisaniline M),BisA-M,2687-27-6,"4,4′-(1,3-Phenylenediisopropylidene)bisaniline",bisa-m,"BisA-M is a bisaniline aromatic diamine with meta-isopropylidene bridging groups, used as a monomer for soluble, transparent polyimides and high-performance epoxy curing.",Polyimides; Epoxy Curing; Electronics; Specialty Diamine,yes,yes,yes
Anilines,BisA-P (Bisaniline P),BisA-P,2688-84-8,"4,4′-(1,4-Phenylenediisopropylidene)bisaniline",bisa-p,"BisA-P is the para-isomer of bisaniline — a rigid aromatic diamine monomer producing high-Tg, thermally stable polyimides and engineering polymers.",Polyimides; Epoxy Curing; Aerospace; High-Tg Polymers; Specialty Diamine,yes,yes,yes
Bio & Pharma,ADC Peptide Linkers & Conjugation Reagents,ADC-LNK,,,adc-peptide-linkers,"Cleavable peptide linkers and bifunctional building blocks for antibody-drug conjugate (ADC) programs — including Val-Cit-pAB and Val-Ala-pAB cathepsin-cleavable linkers, diamino-amino acids for branched payload attachment, and PEG-spaced bioconjugation reagents.",ADC linkers; Antibody-drug conjugates; Val-Cit-pAB; Val-Ala-pAB; Cathepsin cleavable; Bioconjugation; Oncology; Payload chemistry; Custom synthesis,yes,yes,no
Bio & Pharma,"Amino Acids, Derivatives & Peptide Reagents",AA-PEPT,,,amino-acids-peptide-reagents,"A 5,000+ product catalog of high-purity amino acids, protected derivatives, peptide synthesis reagents, and resins — supplying leading pharmaceutical companies and academic research labs for over 40 years. Custom synthesis welcomed, including non-natural amino acid derivatives.",Peptide synthesis; SPPS; Drug discovery; API intermediates; Custom synthesis; Unnatural amino acids; ADC linkers; GLP-1; Macrocyclic peptides; PROTAC; Pharmaceutical R&D; Academic research,yes,yes,no
